Title,Authors,Year,Venue,DOI
Coverage Evaluation of the 1994 Federal Libraries and Information Centers Survey. Technical Report.,"['J Curry', 'C Kindel']",1998,NA,https://eric.ed.gov/?id=ED424302
"Plan and operation of the third National Health and Nutrition Examination Survey, 1988-94",[],1994,NA,https://books.google.com/books?hl=en&lr=&id=QG7ZAAAAMAAJ&oi=fnd&pg=PP7&dq=Federal+Statistical+Research+Data+Centers&ots=Pz8SB5EYat&sig=HOapSWJehmh5tEdWt5rV5_ofdWk
Respondent consent to link survey data with administrative records: Results from a split-ballot field test with the 2007 National Health Interview Survey,"['JM Dahlhamer', 'CS Cox']",2007,… Committee on Statistical Methodology Research …,https://citeseerx.ist.psu.edu/document?repid=rep1&type=pdf&doi=e9d06372cd1c220ee6f2389171538b00cd82dd32
Conflicts between the needs for access to statistical information and demands for confidentiality,['SE Fienberg'],1994,Journal of Official Statistics,https://search.proquest.com/openview/a393c382a51b3da7751198584d9f2178/1?pq-origsite=gscholar&cbl=105444
Research with private sector business microdata: The case of NETS/D&B,"['LD Crane', 'RA Decker']",2020,Federal Reserve Board Working Paper,https://www.academia.edu/download/103824346/f142811.pdf
Optimizing the Use of Micro-data: An Overview of the Issues Presented at I Quality and Access to Federal Data: Memorial Session in Honor of Pat J. Doyle,['J Lanei'],NA,NA,https://ww2.amstat.org/committees/ethics/linksdir/Jsm2005Lane.pdf
The impact of federal incentives on the adoption of hybrid electric vehicles in the United States,"['A Jenn', 'IL Azevedo', 'P Ferreira']",2013,Energy Economics,https://www.sciencedirect.com/science/article/pii/S0140988313001709
Federated optimization: Distributed machine learning for on-device intelligence,"['J Konečný', 'HB McMahan', 'D Ramage']",2016,arXiv preprint arXiv …,https://arxiv.org/abs/1610.02527
Reference manual on scientific evidence,"['National Research Council', 'Federal Judicial Center']",2011,NA,https://books.google.com/books?hl=en&lr=&id=_d4gTJuZ4I0C&oi=fnd&pg=PR1&dq=Federal+Statistical+Research+Data+Centers&ots=p4ND5nhQ3j&sig=XWdhaVonUgOdvyODmStLXd81_yE
The national science foundation national center for geographic information and analysis,['RF Abler'],1987,International Journal of Geographical Information …,https://www.tandfonline.com/doi/abs/10.1080/02693798708927819
"National health and nutrition examination survey. Analytic guidelines, 1999-2010","['CL Johnson', 'R Paulose-Ram', 'CL Ogden', 'MD Carroll']",2013,NA,https://stacks.cdc.gov/view/cdc/21305
"Digest of Education Statistics, 2008. NCES 2009-020.","['TD Snyder', 'SA Dillow', 'CM Hoffman']",2009,National Center for Education Statistics,https://eric.ed.gov/?id=ED504502
"Computers, Data Banks, and Individual Privacy","['R Ruggles', 'JJ Pemberton Jr', 'AR Miller']",1968,Minn. L. Rev,https://heinonline.org/hol-cgi-bin/get_pdf.cgi?handle=hein.journals/mnlr53&section=22
The energy and carbon footprint of the global ICT and E&M sectors 2010–2015,"['J Malmodin', 'D Lundén']",2018,Sustainability,https://www.mdpi.com/2071-1050/10/9/3027?source=post_page---------------------------
Who governs federally qualified health centers?,['B Wright'],2013,"Journal of health politics, policy and law",https://read.dukeupress.edu/jhppl/article-abstract/38/1/27/13515
Comparison of US federal and foundation funding of research for sickle cell disease and cystic fibrosis and factors associated with research productivity,"['F Farooq', 'PJ Mogayzel', 'S Lanzkron']",2020,JAMA network …,https://jamanetwork.com/journals/jamanetworkopen/article-abstract/2763606
… : Undergraduates Whose Parents Never Enrolled in Postsecondary Education. Statistical Analysis Report. Postsecondary Education Descriptive Analysis …,"['AM Nunez', 'S Cuccaro-Alamin']",1998,NA,https://eric.ed.gov/?id=ED420235
Federal Data Guide for Restaurateurs,['B Hamill'],1970,Cornell Hotel and Restaurant Administration …,https://journals.sagepub.com/doi/abs/10.1177/001088047001100105
Association between patient-centered medical home rating and operating cost at federally funded health centers,"['RS Nocon', 'R Sharma', 'JM Birnberg', 'Q Ngo-Metzger']",2012,Jama,https://jamanetwork.com/journals/jama/article-abstract/1197012
Health status and health care experiences among homeless patients in federally supported health centers: findings from the 2009 patient survey,"['LA Lebrun‐Harris', 'TP Baggett']",2013,… services research,https://onlinelibrary.wiley.com/doi/abs/10.1111/1475-6773.12009
"… Institutions, Fall 2013; Financial Statistics, Fiscal Year 2013; and Employees in Postsecondary Institutions, Fall 2013. First Look (Provisional Data). NCES 2015-012.","['SA Ginder', 'JE Kelly-Reid', 'FB Mann']",2014,National Center for Education Statistics,https://eric.ed.gov/?id=ED555736
Cloudrise: exploring cloud computing adoption and governance with the TOE framework,"['HP Borgman', 'B Bahli', 'H Heier']",2013,2013 46th Hawaii …,https://ieeexplore.ieee.org/abstract/document/6480378/
… characteristics of diabetes mellitus in the Russian Federation: clinical and statistical analysis according to the Federal diabetes register data of 01.01. 2021,"['II Dedov', 'MV Shestakova', 'OK Vikulova']",2021,Diabetes …,https://www.dia-endojournals.ru/jour/article/view/12759/0?locale=en_US
"Health, United States","['', 'National Center for Health Services Research']",2012,NA,https://books.google.com/books?hl=en&lr=&id=cq3FMA96aa0C&oi=fnd&pg=PA2&dq=Federal+Statistical+Research+Data+Centers&ots=xbQiGZdex_&sig=QUb-JtOeoy2fe8-NnjXfkbu-cjs
New grid of Arctic bathymetry aids scientists and mapmakers,"['M Jakobsson', 'N Cherkis', 'J Woodward']",2000,"EOS, Transactions …",https://agupubs.onlinelibrary.wiley.com/doi/abs/10.1029/00EO00059
A systematic review of nonresponse bias studies in federally sponsored surveys,"['P Miller', 'TH Fakhouri', 'M Earp', 'KD Piscopo', 'SM Frenk']",2020,NA,https://rosap.ntl.bts.gov/view/dot/72801
Materials data science: current status and future outlook,"['SR Kalidindi', 'M De Graef']",2015,Annual Review of Materials Research,https://www.annualreviews.org/content/journals/10.1146/annurev-matsci-070214-020844
Overview of the integrated global radiosonde archive,"['I Durre', 'RS Vose', 'DB Wuertz']",2006,Journal of Climate,https://journals.ametsoc.org/view/journals/clim/19/1/jcli3594.1.xml
"Health, United States, 1981",[''],1981,NA,https://books.google.com/books?hl=en&lr=&id=Y7IfxSyZWXkC&oi=fnd&pg=PR3&dq=Federal+Statistical+Research+Data+Centers&ots=aQK0-wf4cB&sig=-L0RjUF0Gxp-CGA1GjJVUzfwlkU
Integrating measurements of disability in federal surveys: seminar proceedings,[],2002,NA,https://books.google.com/books?hl=en&lr=&id=fP1Eitz0SW0C&oi=fnd&pg=PP6&dq=Federal+Statistical+Research+Data+Centers&ots=b-OIuXdLyU&sig=Lw8MZT4YWOVSxMhUjn-31Cz6dHA
Report on the Condition of Education 2021. NCES 2021-144.,"['V Irwin', 'J Zhang', 'X Wang', 'S Hein', 'K Wang']",2021,… for Education Statistics,https://eric.ed.gov/?id=ED612942
"Big data: survey, technologies, opportunities, and challenges","['N Khan', 'I Yaqoob', 'IAT Hashem', 'Z Inayat']",2014,The scientific world …,https://onlinelibrary.wiley.com/doi/abs/10.1155/2014/712826
Centralized information systems and the legal right to privacy,['JA Meldman'],1968,Marq. L. Rev.,https://heinonline.org/hol-cgi-bin/get_pdf.cgi?handle=hein.journals/marqlr52&section=27
Updates on terminology of sexual orientation and gender identity survey measures,"['RE Morgan', 'C Dragon', 'G Daus', 'J Holzberg', 'R Kaplan']",2020,NA,https://rosap.ntl.bts.gov/view/dot/72815
A survey of large scale data management approaches in cloud environments,"['S Sakr', 'A Liu', 'DM Batista']",2011,… communications surveys & …,https://ieeexplore.ieee.org/abstract/document/5742778/
Indirect estimators in US federal programs,['WL Schaible'],2013,NA,https://books.google.com/books?hl=en&lr=&id=ZkLhBwAAQBAJ&oi=fnd&pg=PA1&dq=Federal+Statistical+Research+Data+Centers&ots=_DjCToh0F5&sig=W-nHCZnBJ6HSIADe0Xr2_Vpx9RI
Drought reconstructions for the continental United States,"['ER Cook', 'DM Meko', 'DW Stahle']",1999,Journal of …,https://journals.ametsoc.org/view/journals/clim/12/4/1520-0442_1999_012_1145_drftcu_2.0.co_2.xml
"Digest of Education Statistics, 2001.","['TD Snyder', 'CM Hoffman']",2002,NA,https://eric.ed.gov/?id=ED467580
Fitting multilevel models in complex survey data with design weights: Recommendations,['AC Carle'],2009,BMC medical research methodology,https://link.springer.com/article/10.1186/1471-2288-9-49
Multivariate statistical analysis of geochemical data as indicative of the hydrogeochemical evolution of groundwater in a sedimentary rock aquifer system,"['V Cloutier', 'R Lefebvre', 'R Therrien', 'MM Savard']",2008,Journal of Hydrology,https://www.sciencedirect.com/science/article/pii/S0022169408001005
"Digest of education statistics 2017, NCES 2018-070.","['TD Snyder', 'C De Brey', 'SA Dillow']",2019,National Center for Education Statistics,https://eric.ed.gov/?id=ed592104
Industrial internet: Pushing the boundaries,"['PC Evans', 'M Annunziata']",2012,General Electric Reports,https://www.researchgate.net/profile/Marco-Annunziata/publication/271528854_Industrial_Internet_Pushing_the_Boundaries_of_Minds_and_Machines/links/566342e608ae418a786bb015/Industrial-Internet-Pushing-the-Boundaries-of-Minds-and-Machines.pdf
Resource allocation for distributed cloud: concepts and research challenges,"['PT Endo', 'AV de Almeida Palhares', 'NN Pereira']",2011,IEEE …,https://ieeexplore.ieee.org/abstract/document/5958007/
Background paper declining response rates in federal surveys: Trends and implications,"['JL Czajka', 'A Beyler']",2016,Mathematica policy research,https://aspe.hhs.gov/sites/default/files/private/pdf/255531/Decliningresponserates.pdf
Research Performance of Federal Research Centers: Is There Any Effect from Restructuring?,"['DV Kosyakov', 'PY Blinov']",2024,Scientific and Technical Information Processing,https://link.springer.com/article/10.3103/S0147688224010088
Availability of information resources for research output: Perception of academic staff members in Nigerian federal universities,['OC Okiki'],2013,NA,https://ir.unilag.edu.ng/handle/123456789/509
"Health, United States, 2016, with chartbook on long-term trends in health",['National Center for Health Statistics'],2017,NA,https://books.google.com/books?hl=en&lr=&id=98xoTtAUsyMC&oi=fnd&pg=PA4&dq=Federal+Statistical+Research+Data+Centers&ots=0Z0xhDrg7N&sig=gxfOqirCjfgSb0ixtXzmV8E9OW8
Scientific data management in the federal government: A case study of NOAA and responsibility for preserving digital data,"['A Kriesberg', 'J Kowall']",2020,Proceedings of the Association for …,https://asistdl.onlinelibrary.wiley.com/doi/abs/10.1002/pra2.266
Geographic expansion of federally qualified health centers 2007–2014,"['CH Chang', 'J PW Bynum']",2019,The Journal of Rural Health,https://onlinelibrary.wiley.com/doi/abs/10.1111/jrh.12330
Assessing the past and promise of the Federal Employee Viewpoint Survey for public management research: A research synthesis,"['S Fernandez', 'WG Resh', 'T Moldogaziev']",2015,Public Administration …,https://onlinelibrary.wiley.com/doi/abs/10.1111/puar.12368
"Consequences of federal government information policies, 1981–1986",['J Morehead'],2019,Reference Services and Public Policy,https://www.taylorfrancis.com/chapters/edit/10.4324/9780429353383-2/consequences-federal-government-information-policies-1981%E2%80%931986-joe-morehead
Handbook of statistical analysis and data mining applications,"['R Nisbet', 'J Elder', 'GD Miner']",2009,NA,https://books.google.com/books?hl=en&lr=&id=U5np34a5fmQC&oi=fnd&pg=PP1&dq=Federal+Statistical+Research+Data+Centers&ots=St1XESwjBT&sig=1-UbZQraaFiilbFCDcXbIwGLz6I
The sexual victimization of men in America: New data challenge old assumptions,"['L Stemple', 'IH Meyer']",2014,American journal of public health,https://ajph.aphapublications.org/doi/abs/10.2105/AJPH.2014.301946
Harmonizing federal interagency traumatic brain injury research data to examine depression and suicide-related outcomes.,"[""ME O'Neil"", 'D Krushnic', 'K Clauss']",2024,Rehabilitation …,https://psycnet.apa.org/record/2024-65629-001?doi=1
Status of education in rural America,['S Provasnik'],2007,NA,https://books.google.com/books?hl=en&lr=&id=twySZ-zOdYEC&oi=fnd&pg=PR3&dq=Federal+Statistical+Research+Data+Centers&ots=0U_UnuD0t3&sig=Mb6vg5zAySoss-q50ONFRbNBbsA
Does federally-funded job training work? Nonexperimental estimates of WIA training impacts using longitudinal data on workers and firms,"['F Andersson', 'HJ Holzer', 'JI Lane', 'D Rosenblum']",2013,NA,https://www.nber.org/papers/w19446
First Marriages in the United States: Data from the 2006-2010 National Survey of Family Growth. National Health Statistics Reports. Number 49.,"['CE Copen', 'K Daniels', 'J Vespa', 'WD Mosher']",2012,… Center for Health Statistics,https://eric.ed.gov/?id=ED575480
E-rulemaking: Bringing data to theory at the Federal Communications Commission,['JM De Figueiredo'],2005,Duke LJ,https://heinonline.org/hol-cgi-bin/get_pdf.cgi?handle=hein.journals/duklr55&section=34
Intersection of living in a rural versus urban area and race/ethnicity in explaining access to health care in the United States,"['JT Caldwell', 'CL Ford', 'SP Wallace']",2016,… journal of public …,https://ajph.aphapublications.org/doi/abs/10.2105/AJPH.2016.303212
Toward the next generation of US national longitudinal surveys: Ideas from researchers for the National Center for Education Statistics,['A Gamoran'],2016,AERA Open,https://journals.sagepub.com/doi/abs/10.1177/2332858416649176
Does E‐government measure up to E‐Business? Comparing end user perceptions of US federal government and E‐business web sites,"['FV Morgeson III', 'S Mithas']",2009,Public Administration Review,https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1540-6210.2009.02021.x
Health information technology capacity at federally qualified health centers: a mechanism for improving quality of care,"['JA Frimpong', 'BE Jackson', 'LSM Stewart']",2013,… health services research,https://link.springer.com/article/10.1186/1472-6963-13-35
Analysis of contractor data in federal acquisition databases,"['N Wu', 'ME Tudoreanu', 'S Siruvolu', 'R Wang', 'JR Talburt']",2020,NA,https://dair.nps.edu/handle/123456789/4212
1997 Federal Court Management Statistics,['JC Reporter'],NA,Corrections Compendium,https://heinonline.org/hol-cgi-bin/get_pdf.cgi?handle=hein.journals/socrijus1997&section=16
"Health, United States","['', 'National Center for Health Services Research']",2015,NA,https://books.google.com/books?hl=en&lr=&id=qOBv8tkzmsYC&oi=fnd&pg=PA4&dq=Federal+Statistical+Research+Data+Centers&ots=hLRUVMgoZA&sig=r8ugWWvubfpLfEQIb59qFKC0Yrs
Association of childhood asthma with federal rental assistance,"['M Boudreaux', 'A Fenelon', 'N Slopen']",2020,JAMA pediatrics,https://jamanetwork.com/journals/jamapediatrics/article-abstract/2762006
The Cooperative Federal-state-local Health Statistics System,[],1973,NA,https://books.google.com/books?hl=en&lr=&id=ZQ-vWJvU-lQC&oi=fnd&pg=PA2&dq=Federal+Statistical+Research+Data+Centers&ots=-eKwuwF18P&sig=HqhTGzPwYbYckzA8RuM0XxcNbl0
The limitations of government databases for analyzing fatal officer-involved shootings in the United States,"['HE Williams', 'SW Bowman']",2019,Criminal Justice Policy …,https://journals.sagepub.com/doi/abs/10.1177/0887403416650927
Federal cloud computing: The definitive guide for cloud service providers,['M Metheny'],2017,NA,https://books.google.com/books?hl=en&lr=&id=9UPQDAAAQBAJ&oi=fnd&pg=PP1&dq=Federal+Statistical+Research+Data+Centers&ots=Quz8Vie0xc&sig=TbTmIBr8u9RhivOxQvQRwyWshkg
Sexual victimization perpetrated by women: Federal data reveal surprising prevalence,"['L Stemple', 'A Flores', 'IH Meyer']",2017,Aggression and violent behavior,https://www.sciencedirect.com/science/article/pii/S1359178916301446
The validity of race and Hispanic origin reporting on death certificates in the United States: an update,"['E Arias', 'MP Heron', 'JK Hakes']",2016,NA,https://stacks.cdc.gov/view/cdc/45533
Primary Sources for Measuring Suicide—Federal Data Sets,['KB Stone'],2023,… : Proceedings of a …,https://www.ncbi.nlm.nih.gov/books/NBK598928/
On the controversies behind the origins of the federal economic statistics,['H Rockoff'],2019,Journal of Economic Perspectives,https://www.aeaweb.org/articles?id=10.1257/jep.33.1.147
Statistical analysis of fragility curves,"['M Shinozuka', 'MQ Feng', 'J Lee']",2000,Journal of engineering …,https://ascelibrary.org/doi/abs/10.1061/(ASCE)0733-9399(2000)126:12(1224)
The effect of federal wilderness on county growth in the intermountain western United States,['KT Duffy‐Deno'],1998,Journal of regional science,https://onlinelibrary.wiley.com/doi/abs/10.1111/0022-4146.00084
Ecological data sharing,['WK Michener'],2015,Ecological informatics,https://www.sciencedirect.com/science/article/pii/S1574954115001004
"Health, United States, 2006 with chartbook on trends in the health of Americans",[],2007,NA,https://books.google.com/books?hl=en&lr=&id=_6hf5q5VwKUC&oi=fnd&pg=PR13&dq=Federal+Statistical+Research+Data+Centers&ots=_nKnWZsgIE&sig=fu8476cQVhEieiCDFGpStJNqluE
Statistics Reports,"['E Arias', 'SL Murphy', 'D Kochanek']",2003,… Center for Health Statistics …,https://books.google.com/books?hl=en&lr=&id=tf8_dpShf8EC&oi=fnd&pg=RA1-PA1&dq=Federal+Statistical+Research+Data+Centers&ots=igK-z4dq6d&sig=NAIigruKXrw23fp_6bbCqZ5tTis
Report on activities: Committee on national statistics,['ME Martin'],1976,The American Statistician,https://www.tandfonline.com/doi/pdf/10.1080/00031305.1976.10479128
Measuring public corruption in the United States: Evidence from administrative records of federal prosecutions,"['AS Cordis', 'J Milyo']",2016,Public Integrity,https://www.tandfonline.com/doi/abs/10.1080/10999922.2015.1111748
"Digest of Education Statistics 2014, NCES 2016-006.","['TD Snyder', 'C De Brey', 'SA Dillow']",2016,National Center for Education Statistics,https://eric.ed.gov/?id=ed565675
Are patients at Veterans Affairs medical centers sicker?: A comparative analysis of health status and medical resource use,"['Z Agha', 'RP Lofgren', 'JV VanRuiswyk']",2000,Archives of internal …,https://jamanetwork.com/journals/jamainternalmedicine/article-abstract/485566
On the Benefits and Costs of Public Access to Data Used to Support Federal Policy Making,"['R Lutter', 'D Zorn']",2016,NA,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3191414
Health care utilization and receipt of preventive care for patients seen at federally funded health centers compared to other sites of primary care,"['N Laiteerapong', 'J Kirby', 'Y Gao', 'TC Yu']",2014,… services research,https://onlinelibrary.wiley.com/doi/abs/10.1111/1475-6773.12178
Lending relationships in Germany–Empirical evidence from survey data,"['D Harhoff', 'T Körting']",1998,Journal of Banking & Finance,https://www.sciencedirect.com/science/article/pii/S0378426698000612
The LEHD infrastructure files and the creation of the Quarterly Workforce Indicators,"['JM Abowd', 'BE Stephens', 'L Vilhuber']",2009,… from micro data,https://www.degruyter.com/document/doi/10.7208/9780226172576-008/pdf?licenseType=restricted
US census 2000 population with bridged race categories,"['DD Ingram', 'JD Parker', 'N Schenker', 'JA Weed']",2003,NA,https://stacks.cdc.gov/view/cdc/6490
Long-term care services in the United States: 2013 overview,"['LD Harris-Kojetin', 'M Sengupta', 'E Park-Lee', 'R Valverde']",2013,NA,https://stacks.cdc.gov/view/cdc/22285/cdc_22285_DS1.pdf
"Quality of death rates by race and Hispanic-origin: a summary of current research, 1999",['HM Rosenberg'],1999,NA,https://books.google.com/books?hl=en&lr=&id=-KyO-xuDn4kC&oi=fnd&pg=PA1&dq=Federal+Statistical+Research+Data+Centers&ots=ePdJfjP0TC&sig=JSwvujyMdJ3JLydf6KKw4g4-0x4
"Digest of Education Statistics, 2000.","['TD Snyder', 'CM Hoffman']",2001,NA,https://eric.ed.gov/?id=ED455275
NDAR: A model federal system for secondary analysis in developmental disabilities research,"['SI Novikova', 'DM Richman', 'K Supekar']",2013,… review of research in …,https://www.sciencedirect.com/science/article/pii/B9780124077607000037
A knowledge-based approach to the statistical mapping of climate,"['C Daly', 'WP Gibson', 'GH Taylor', 'GL Johnson']",2002,Climate research,https://www.int-res.com/abstracts/cr/v22/n2/p99-113
"Homicides by police: comparing counts from the national violent death reporting system, vital statistics, and supplementary homicide reports","['C Barber', 'D Azrael', 'A Cohen']",2016,… journal of public …,https://ajph.aphapublications.org/doi/abs/10.2105/AJPH.2016.303074
Cochlear implant complications: utility of federal database in systematic analysis,"['RR Tambyraja', 'MA Gutman']",2005,… of Otolaryngology–Head …,https://jamanetwork.com/journals/jamaotolaryngology/article-abstract/648801
Assessing the Quality of Blended Statistics in a Federal Health Survey,"['L Kantor', 'A Bisognano', 'M Trierweiler']",NA,NA,http://www.asasrms.org/Proceedings/y2021/files/1913732.pdf
Toward scalable systems for big data analytics: A technology tutorial,"['H Hu', 'Y Wen', 'TS Chua', 'X Li']",2014,IEEE access,https://ieeexplore.ieee.org/abstract/document/6842585/
Electronic health records and clinical decision support systems: impact on national ambulatory care quality,"['MJ Romano', 'RS Stafford']",2011,Archives of internal medicine,https://jamanetwork.com/journals/jamainternalmedicine/article-abstract/227364
National hospital ambulatory medical care survey: 2005 emergency department summary,"['EW Nawar', 'RW Niska', 'J Xu']",2007,NA,https://stacks.cdc.gov/view/cdc/81298
The twentieth century reanalysis project,"['GP Compo', 'JS Whitaker']",2011,Quarterly Journal of …,https://rmets.onlinelibrary.wiley.com/doi/abs/10.1002/QJ.776
Status and Trends in the Education of American Indians and Alaska Natives: 2008. NCES 2008-084.,"['JF DeVoe', 'KE Darling-Churchill']",2008,National Center for Education Statistics,https://eric.ed.gov/?id=ED502797
Federal data science: Transforming government and agricultural policy using artificial intelligence,"['FA Batarseh', 'R Yang']",2017,NA,https://books.google.com/books?hl=en&lr=&id=8eLWDgAAQBAJ&oi=fnd&pg=PP1&dq=Federal+Statistical+Research+Data+Centers&ots=htWS6MkvMo&sig=atUMFQYePv86hYmI74UaOXr04z0
Diverging trends in national and local concentration,"['E Rossi-Hansberg', 'PD Sarte']",2021,NBER Macroeconomics …,https://www.journals.uchicago.edu/doi/abs/10.1086/712317
"Federal housing assistance and chronic disease among US adults, 2005–2018","['C Kim', 'LM Rossen', 'B Stierman']",2023,Preventing Chronic …,https://pmc.ncbi.nlm.nih.gov/articles/PMC10723081/
Data-driven perspectives on federal budgetary dynamics for identifying anomalies and patterns in resource allocation and obligation trends,"['RS Khan', 'MRM Sirazy', 'R Das']",2024,Quarterly Journal of …,https://www.researchgate.net/profile/Rafiqus-Khan/publication/387586972_DATA-DRIVEN_PERSPECTIVES_ON_FEDERAL_BUDGETARY_DYNAMICS_FOR_IDENTIFYING_ANOMALIES_AND_PATTERNS_IN_RESOURCE_ALLOCATION_AND_OBLIGATION_TRENDS/links/6774ee3cfb9aff6eaafc1e77/DATA-DRIVEN-PERSPECTIVES-ON-FEDERAL-BUDGETARY-DYNAMICS-FOR-IDENTIFYING-ANOMALIES-AND-PATTERNS-IN-RESOURCE-ALLOCATION-AND-OBLIGATION-TRENDS.pdf
Digest of Education Statistics 2013. NCES 2015-011.,"['TD Snyder', 'SA Dillow']",2015,National Center for Education Statistics,https://eric.ed.gov/?id=ED556349
Tragedy of the data commons,['J Yakowitz'],2011,Harv. JL & Tech.,https://heinonline.org/hol-cgi-bin/get_pdf.cgi?handle=hein.journals/hjlt25&section=4
Three eras of survey research,['RM Groves'],2011,Public opinion quarterly,https://academic.oup.com/poq/article-abstract/75/5/861/1831518
The definition of the standard WMO climate normal: The key to deriving alternative climate normals,"['A Arguez', 'RS Vose']",2011,Bulletin of the American Meteorological Society,https://www.jstor.org/stable/26218540
A comprehensive review on digital twins for smart energy management system,"['M Lamagna', 'D Groppi', 'MM Nezhad']",2021,International Journal of …,https://elar.urfu.ru/handle/10995/106465
Literature Survey of Big Data,['J McGlynn'],2023,NA,https://rosap.ntl.bts.gov/view/dot/68403
"Sexual victimization in state and federal prisons reported by inmates, 2007","['AJ Beck', 'PM Harrison']",2008,NA,http://www.defenseforsvp.com/Resources/US_gov/USDOJ_PrisonSexualVictimization_2007.pdf
Secondary research: Information sources and methods,"['DW Stewart', 'MA Kamins']",1993,NA,https://books.google.com/books?hl=en&lr=&id=Oe3MrNsOjkkC&oi=fnd&pg=PA1&dq=Federal+Statistical+Research+Data+Centers&ots=D2X_qE3lB6&sig=aI2nUths0ydhmJ-09dlLgl22vw4
Child maltreatment surveillance: Uniform definitions for public health and recommended data elements,['RT Leeb'],2008,NA,https://books.google.com/books?hl=en&lr=&id=M4Y3S-qDuzEC&oi=fnd&pg=PR6&dq=Federal+Statistical+Research+Data+Centers&ots=Zo3M_76D_4&sig=fJZ-QdEo5FDedX6aa8ZwlGg3Xc8
COVID-19 cases and deaths in federal and state prisons,"['B Saloner', 'K Parish', 'JA Ward', 'G DiLaura', 'S Dolovich']",2020,Jama,https://jamanetwork.com/journals/jama/article-abstract/2768249
30 day results from the SPACE trial of stent-protected angioplasty versus carotid endarterectomy in symptomatic patients: a randomised non-inferiority trial,['SPACE Collaborative Group'],2006,The Lancet,https://www.sciencedirect.com/science/article/pii/S0140673606691228
"Digest of Education Statistics, 2009. NCES 2010-013.","['TD Snyder', 'SA Dillow']",2010,National Center for Education Statistics,https://eric.ed.gov/?id=ED509883
How many scientists fabricate and falsify research? A systematic review and meta-analysis of survey data,['D Fanelli'],2009,PloS one,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0005738
Methadone exposures reported to poison control centers in the United States following the COVID-19-related loosening of federal methadone regulations,"['C Welsh', 'S Doyon', 'K Hart']",2022,International Journal of Drug Policy,https://www.sciencedirect.com/science/article/pii/S0955395922000111
Applying data synthesis for longitudinal business data across three countries,"['MJ Alam', 'B Dostie', 'J Drechsler', 'L Vilhuber']",2020,Statistics in Transition New …,https://www.ceeol.com/search/article-detail?id=937843
"Digest of Education Statistics, 2011. NCES 2012-001.","['TD Snyder', 'SA Dillow']",2012,National Center for Education Statistics,https://eric.ed.gov/?id=ED544580
How Might We Democratize Data? Analyzing Implications of Federal Data System Design for Communities and Individuals,['DA Zachary'],2023,NA,https://search.proquest.com/openview/0a4a7431bfe1567121155a0b9a8bbe35/1?pq-origsite=gscholar&cbl=18750&diss=y
Changes in US mass shooting deaths associated with the 1994–2004 federal assault weapons ban: Analysis of open-source data,"['C DiMaggio', 'J Avraham', 'C Berry', 'M Bukur']",2019,Journal of trauma and …,https://journals.lww.com/jtrauma/fulltext/2019/01000/Changes_inUS_mass_shooting_deaths_associated_with.2.aspx
National center for health Statistics data presentation standards for rates and counts,"['JD Parker', 'M Talih', 'KE Irimata', 'G Zhang', 'AM Branum']",2023,NA,https://stacks.cdc.gov/view/cdc/124368/cdc_124368_DS1.pdf
Infant mortality statistics from the 2013 period linked birth/infant death data set,"['TJ Mathews', 'MF MacDorman', 'ME Thoma']",2015,NA,https://stacks.cdc.gov/view/cdc/32752
Strategies Federal Government IT Project Managers Use to Migrate IT Systems to the Cloud,['LTD Griffith'],2020,NA,https://search.proquest.com/openview/c15769f6ae3929b9ed000444719b55aa/1?pq-origsite=gscholar&cbl=44156
Litigation outcomes in state and federal courts: A statistical portrait,"['T Eisenberg', 'J Goerdt', 'B Ostrom', 'D Rottman']",1995,Seattle UL Rev.,https://heinonline.org/hol-cgi-bin/get_pdf.cgi?handle=hein.journals/sealr19&section=24
Mortality among US veterans of the Persian Gulf War,"['HK Kang', 'TA Bullman']",1996,New England Journal of Medicine,https://www.nejm.org/doi/abs/10.1056/NEJM199611143352006
Statistical brief# 160,"['CM Torio', 'RM Andrews']",2013,… and utilization project (HCUP) statistical …,https://hcup-us.ahrq.gov/reports/statbriefs/sb160.pdf
"The National COVID Cohort Collaborative (N3C): rationale, design, infrastructure, and deployment","['MA Haendel', 'CG Chute', 'TD Bennett']",2021,Journal of the …,https://academic.oup.com/jamia/article-abstract/28/3/427/5893482
… maintenance treatment retention improves nationally recommended preventive primary care screenings when integrated into urban federally qualified health centers,"['MS Haddad', 'A Zelenev', 'FL Altice']",2015,Journal of Urban Health,https://link.springer.com/article/10.1007/s11524-014-9924-1
A federal monitoring system for early adult health,['BV Brown'],2008,Journal of adolescent health,https://www.sciencedirect.com/science/article/pii/S1054139X08001079
Research data services maturity in academic libraries,"['C Kollen', 'I Kouper', 'M Ishida', 'S Williams', 'K Fear']",2017,NA,https://repository.arizona.edu/handle/10150/622168
Promoting safe walking and cycling to improve public health: lessons from the Netherlands and Germany,"['J Pucher', 'L Dijkstra']",2003,American journal of public health,https://ajph.aphapublications.org/doi/abs/10.2105/ajph.93.9.1509
A survey on the edge computing for the Internet of Things,"['W Yu', 'F Liang', 'X He', 'WG Hatcher', 'C Lu', 'J Lin']",2017,IEEE …,https://ieeexplore.ieee.org/abstract/document/8123913/
